Row,ppt_annual_Total,ppt_Jan_Total,ppt_Feb_Total,ppt_Mar_Total,ppt_Apr_Total,ppt_May_Total,ppt_Jun_Total,ppt_Jul_Total,ppt_Aug_Total,ppt_Sep_Total,ppt_Oct_Total,ppt_Nov_Total,ppt_Dec_Total,tmin_annual_Total,tmin_Jan_Total,tmin_Feb_Total,tmin_Mar_Total,tmin_Apr_Total,tmin_May_Total,tmin_Jun_Total,tmin_Jul_Total,tmin_Aug_Total,tmin_Sep_Total,tmin_Oct_Total,tmin_Nov_Total,tmin_Dec_Total,tmean_annual_Total,tmean_Jan_Total,tmean_Feb_Total,tmean_Mar_Total,tmean_Apr_Total,tmean_May_Total,tmean_Jun_Total,tmean_Jul_Total,tmean_Aug_Total,tmean_Sep_Total,tmean_Oct_Total,tmean_Nov_Total,tmean_Dec_Total,tmax_annual_Total,tmax_Jan_Total,tmax_Feb_Total,tmax_Mar_Total,tmax_Apr_Total,tmax_May_Total,tmax_Jun_Total,tmax_Jul_Total,tmax_Aug_Total,tmax_Sep_Total,tmax_Oct_Total,tmax_Nov_Total,tmax_Dec_Total,tdmean_annual_Total,tdmean_Jan_Total,tdmean_Feb_Total,tdmean_Mar_Total,tdmean_Apr_Total,tdmean_May_Total,tdmean_Jun_Total,tdmean_Jul_Total,tdmean_Aug_Total,tdmean_Sep_Total,tdmean_Oct_Total,tdmean_Nov_Total,tdmean_Dec_Total,vpdmin_annual_Total,vpdmin_Jan_Total,vpdmin_Feb_Total,vpdmin_Mar_Total,vpdmin_Apr_Total,vpdmin_May_Total,vpdmin_Jun_Total,vpdmin_Jul_Total,vpdmin_Aug_Total,vpdmin_Sep_Total,vpdmin_Oct_Total,vpdmin_Nov_Total,vpdmin_Dec_Total,vpdmax_annual_Total,vpdmax_Jan_Total,vpdmax_Feb_Total,vpdmax_Mar_Total,vpdmax_Apr_Total,vpdmax_May_Total,vpdmax_Jun_Total,vpdmax_Jul_Total,vpdmax_Aug_Total,vpdmax_Sep_Total,vpdmax_Oct_Total,vpdmax_Nov_Total,vpdmax_Dec_Total,nopptdays_annual_Total,nopptdays_Jan_Total,nopptdays_Feb_Total,nopptdays_Mar_Total,nopptdays_Apr_Total,nopptdays_May_Total,nopptdays_Jun_Total,nopptdays_Jul_Total,nopptdays_Aug_Total,nopptdays_Sep_Total,nopptdays_Oct_Total,nopptdays_Nov_Total,nopptdays_Dec_Total,GDD_annual_Total,GDD_Jan_Total,GDD_Feb_Total,GDD_Mar_Total,GDD_Apr_Total,GDD_May_Total,GDD_Jun_Total,GDD_Jul_Total,GDD_Aug_Total,GDD_Sep_Total,GDD_Oct_Total,GDD_Nov_Total,GDD_Dec_Total
ppt_annual_Total,1,0.414949746014941,0.461038375625511,0.438629779935997,0.393032105923462,0.521924206345486,0.554595662307323,0.412092332522417,0.398433038502562,0.569648865762964,0.469223670503664,0.449977606797167,0.388057469283474,0.591237926827788,0.225952660327356,0.266773219153134,0.428127773661651,0.460169282517185,0.503985192411543,0.408920559994084,0.448669057695979,0.340744941457014,0.46196208143545,0.561355295911375,0.496495495331162,0.30629864758255,0.199822098013057,-0.0523810346820897,0.0383881675134389,0.188566745645423,0.178873407773716,0.212808587057677,0.00986979570573816,-0.0427467788549253,-0.0230542640132873,0.153879941291203,0.342688158836508,0.239878785736727,0.0897200098667107,-0.34488642255277,-0.245957702743532,-0.143985942418566,-0.0751874484588433,-0.120137692874665,-0.149573761246438,-0.343907505050236,-0.457038070854813,-0.309120139636306,-0.186898751827031,-0.0314317601829973,-0.0362375609750707,-0.122424089316726,0.760324296988934,0.321573028712674,0.327260659688393,0.480446123158072,0.516674648254186,0.596944667138065,0.670723693158808,0.740969205036894,0.706335590920059,0.695470584061407,0.615082512949311,0.524572057093465,0.376562407352263,-0.403541937281828,-0.12191142293235,-0.0952082440745999,0.0135885060148397,0.0408538045345262,-0.194497178282198,-0.393606765746168,-0.353555826629854,-0.281301768626372,-0.351689156665455,-0.202957195281984,-0.00628128833699938,-0.197153117367974,-0.778539118089325,-0.392118768833453,-0.331863628257466,-0.389459781963953,-0.453709560542703,-0.529683068812357,-0.622799777600963,-0.671815993904847,-0.539360113771009,-0.541950559838917,-0.439008622945885,-0.325798699793611,-0.435849424988788,-0.730028078782443,-0.457309452292508,-0.38490703898922,-0.362966789239558,-0.342110296948758,-0.347433652126737,-0.337261954143973,-0.242277085240937,-0.235954970874588,-0.408054709113343,-0.36935560610862,-0.381818499235846,-0.391620133374764,0.206411310298638,-0.0233377010314764,0.0255721329295451,0.144246949400344,0.112476720195051,0.229905503787685,NaN,NaN,NaN,0.177668252840404,0.306674449361228,0.196364838050083,0.072262379931449
ppt_Jan_Total,0.414949746014941,1,0.25607883764892,0.182542157280338,0.13774114220765,0.320552310594941,0.243355586081479,0.15465129533536,0.160768218699964,0.105043240737285,0.0607845974577953,0.0695190924247426,0.0398253758242365,0.30603250043389,0.181673666870427,0.221152052152538,0.199759012164216,0.24958780931665,0.238193977703422,0.15258320441785,0.200501169585224,0.22620534969496,0.247038017524222,0.173023936836867,0.315620362516306,0.10949045999065,0.140980099193363,-0.0539636014106409,0.0823175610376668,0.057991187463557,0.0807654100280768,0.0890898239309375,-0.0501268958984837,-0.0135495238381301,0.0586063989967134,0.154515370867027,0.150369951381693,0.268232265085574,0.0792777318433593,-0.112551688607012,-0.216344089768632,-0.0362541536617288,-0.0870476216573546,-0.0931203414305893,-0.091109722039018,-0.215031940480248,-0.19575794573828,-0.0861216106428972,0.0251943393391776,0.0646953424028718,0.16330572064565,0.0398116619507891,0.38521973173068,0.334801962693038,0.290990393257612,0.234449477742285,0.322484727252595,0.318599832797318,0.287427527015363,0.34665748356673,0.370443230459931,0.309541401470885,0.1569254837411,0.277196935153346,0.104468233306138,-0.212248330729903,-0.247395426753247,-0.178289033967359,-0.113608202415541,-0.144502958181792,-0.208948576669175,-0.197652263319366,-0.210665998928914,-0.110619042974409,-0.0897166999665433,0.0137980102494586,0.20216605011588,0.0876757062130381,-0.337431867604219,-0.364543403797016,-0.197744522009452,-0.25057141288664,-0.303141226528552,-0.305122911100021,-0.321660531053717,-0.300873249895096,-0.217471735231213,-0.139117079379795,-0.0751909685975309,0.0556700554355268,-0.00552536713957253,-0.309673376746,-0.634632030181426,-0.261778234127091,-0.143870074930936,-0.178648045451718,-0.190232663441745,-0.117676631107287,-0.0551586828399426,-0.0659028951507943,-0.0849125458339233,-0.020161553809332,-0.0962140742047977,-0.0832300554247998,0.191356797939259,-0.0566856478209228,0.0563847895355757,0.0703812866981111,0.0727922357257788,0.0629357314964253,NaN,NaN,NaN,0.0372692112025043,0.165860373313213,0.21879065857579,0.211639980923813
ppt_Feb_Total,0.461038375625511,0.25607883764892,1,0.251323453660123,0.097092588358136,0.153328729528898,0.246317184601017,0.0811291729709988,0.142795693113056,0.233171883460026,0.202853585771681,0.197998391390893,0.159428249798526,0.355322444362546,0.109307690120246,0.197347152363856,0.325386489118405,0.243263961778999,0.249916037012112,0.179780711671141,0.338166156725666,0.254360375096215,0.295771942684138,0.33102547816362,0.34921815064967,0.100945434724934,0.154699969923883,-0.0740022974864481,-0.0473215288293106,0.139500070771236,0.060785200743005,0.1675676297798,-0.00792496939601887,0.163492848589242,0.147257543643475,0.210029760635205,0.226901754979769,0.220614814825976,-0.0184327832454115,-0.146514626101407,-0.195413946690563,-0.23123649250281,-0.0637952578721749,-0.12161464977161,0.0360374743419459,-0.170969658566052,-0.0470514756595357,0.0342275184745798,0.0735078766630456,0.0227430910738747,0.0580225627408084,-0.125316335869599,0.44264413054049,0.203506091398414,0.379572279753989,0.429007023421286,0.32513539200604,0.291507818071041,0.316339382285212,0.371063464969987,0.291639696169428,0.340170405265296,0.340866451525403,0.342349745897906,0.131638232715454,-0.116729774489237,-0.182390508317507,-0.373851682199807,-0.248957497716847,-0.102316733768768,-0.054167851451674,-0.154571658953725,-0.033140129854188,0.0504520569535768,-0.0513018039569753,-0.0918621039289556,0.0440147633800506,-0.106760969115813,-0.329049082559646,-0.290675021556496,-0.483708858764784,-0.327367686620027,-0.328267828486086,-0.177934721876981,-0.30637902389014,-0.205193546646529,-0.0681231841913252,-0.109665451776114,-0.222004286396048,-0.120314156158776,-0.237590413204557,-0.369188915801819,-0.236874110515551,-0.681336399321601,-0.238885435226862,-0.193888523725645,-0.0584369061871056,-0.0887744981856951,0.0215308394011841,-0.0290481459867604,-0.194444511593009,-0.172426638650529,-0.162636815549598,-0.276363814925783,0.0371247558437169,-0.09083884099415,-0.172467887491601,0.0717123307461168,-0.0264726670837713,0.0985385045973035,NaN,NaN,NaN,0.113796446412286,0.195799385539299,0.150204845858605,0.0562129389218781
ppt_Mar_Total,0.438629779935997,0.182542157280338,0.251323453660123,1,0.158660566643905,0.18452390890624,0.2130861862747,0.078369701183527,-0.0508200990679844,0.0386180195791949,0.20688144927191,0.260611630249561,0.175464081773467,0.412568942362523,0.314567121957169,0.38572027189403,0.456165040405223,0.227640133276435,0.380926392576062,0.134082793018286,0.238464752115025,0.276843050767794,0.199089980592329,0.302571080475644,0.381776899332543,0.046883219669802,0.263068176477234,0.113481432522791,0.272133161496972,0.181904557943701,0.0549918643551368,0.227715406536107,-0.0317656907411815,0.0332845135852236,0.206287470132176,0.208668726820525,0.229103840262001,0.258164912401474,-0.048924831494664,-0.0235472888371621,-0.0495845644614613,0.148533874904444,-0.113060336561094,-0.117025820601914,0.00582119413592535,-0.16916375868461,-0.157852273458554,0.111419336567386,0.165983667897726,0.0568268019812712,0.0908207818939988,-0.129711875201873,0.452848864554073,0.389620127580267,0.419310057756343,0.578240520904338,0.301663759799805,0.452896682209848,0.244871162344488,0.311108266604418,0.217847296621509,0.159199466983889,0.280170380984094,0.380473720743629,0.0803742653122388,-0.0135770150366432,-0.0900612466769276,0.0110928761494076,-0.260434360262483,-0.0581617402784887,-0.0942400531283546,-0.164329457656241,-0.0469357744579059,0.187611286277086,0.110473943422725,0.0127720946422371,0.0532477124375914,0.00631398566233097,-0.26297688390726,-0.212758249294973,-0.0575163949638596,-0.458543793681325,-0.299369574175859,-0.275674813855926,-0.280003019471249,-0.258371095727325,0.0348484084009428,0.0619608610210972,-0.168706044435664,-0.126872338580497,-0.206608356218152,-0.338711992413673,-0.225285763845517,-0.190113482759094,-0.675876022065034,-0.09187239260057,-0.141361875071427,-0.176796449053956,0.0070613248100065,0.138346386371045,0.0191330330196546,-0.203892934936865,-0.229916757518731,-0.21407268816702,0.22843857079449,0.0439760009753034,0.210948049782782,0.0725452191438038,0.0854852741517004,0.207759968178295,NaN,NaN,NaN,0.0452679937199915,0.221618922057555,0.132265553680407,0.127037576948074
ppt_Apr_Total,0.393032105923462,0.13774114220765,0.097092588358136,0.158660566643905,1,0.0670788103589618,0.0753387661107638,-0.0304738406307529,-0.018893851187978,0.211473960285568,0.214877121267709,0.175123106415484,0.221236710072132,0.364713818547181,0.0884753242991355,0.280092740830354,0.248470810800556,0.269410796151576,0.15609281093465,0.311594832519373,0.244640271113883,0.191924725330195,0.200137561292359,0.285279725071418,0.399777869522702,0.273698346578512,0.202000060652072,-0.0945337231686729,0.18822916800734,0.127871907174009,0.0093938728616639,-0.00152736449687754,0.163971835278952,0.0890365912437696,0.130816027867231,0.051809371188353,0.129194306096019,0.313092191410437,0.165710202360599,-0.0744705430437059,-0.21259477403503,0.0924563870722781,-0.0116554641301263,-0.234289307218175,-0.166121447696054,-0.0100024445694674,-0.0785256017911344,0.0575756093026873,-0.106732701973515,-0.0907944632258344,0.163889774380139,0.0420845659329299,0.415045310923654,0.134851739374965,0.256417391437606,0.22516124255135,0.395548126425373,0.242080680525332,0.395472038949066,0.289963561390604,0.266302423178166,0.279374281435893,0.332607074438352,0.400284316127807,0.287045179069494,-0.0936751223648654,-0.06142498173318,0.124859625877357,0.143821628131717,-0.198129997919968,-0.131469951235269,-0.102359934218483,-0.0262296580162063,-0.00885013453407412,-0.131109087624602,-0.161108434985401,0.0656890973243114,0.0196524874038116,-0.301920809689696,-0.281049257510662,-0.0418180723548685,-0.124868947216517,-0.472859008629943,-0.316739131243143,-0.210653128049879,-0.188007969814682,-0.0603777514185811,-0.227711726415178,-0.296984133558817,-0.0462003462493387,-0.154602978449243,-0.27456743567828,-0.174132169407365,-0.0166215114544519,-0.116151497205666,-0.646019547712992,-0.0435252709774498,-0.021764084559621,0.0767687185353151,0.0977603044111196,-0.222940276780765,-0.255879277713619,-0.125139717839143,-0.215119474129851,0.218367017125486,-0.0248209898343102,0.104727759526608,0.0256202831199563,0.0655935350674064,0.0670596331462331,NaN,NaN,NaN,-0.0132066528548014,0.206966055183127,0.311242017182383,0.154596412451076
ppt_May_Total,0.521924206345486,0.320552310594941,0.153328729528898,0.18452390890624,0.0670788103589618,1,0.2090549532859,0.0917282064109476,0.168353638627277,0.208784373777435,0.00244270017879927,0.0488318115314708,0.184702146908416,0.245938468856207,0.0155617107247255,0.0453403072430642,0.192946190066311,0.207845918994802,0.188775162031032,0.199604215898409,0.315499628210215,0.313897692876399,0.180398291713798,0.139764619012625,0.16906595923602,0.149415593151284,0.0345657099199784,-0.10305377224106,-0.0531842999488728,0.0561411816746837,0.0711492373538354,-0.139412598463143,-0.0645405107202228,0.0705145496621524,0.107310088450541,0.0192050968122489,0.125142212463586,0.130781156477441,0.0468025709873127,-0.228721009388951,-0.173222204319373,-0.122801172664126,-0.0838837230550236,-0.0707496208695785,-0.445569331579897,-0.279655271503219,-0.168424590764853,-0.0776939875474356,-0.14379053326568,0.0583745245730171,0.066720416917304,-0.0543298235563802,0.353506284741415,0.0987551727188956,0.0460108674634647,0.264966228873279,0.229764544231592,0.371596727881163,0.396409724216608,0.429366894817488,0.502707216155565,0.349902757488857,0.103535331880062,0.188342461248997,0.15651854578154,-0.212069275426368,-0.0943373879653375,0.00426260878319256,-0.0815554882370553,0.0446510100745591,-0.366200180098563,-0.289742604711062,-0.14463518154595,-0.111843012152538,-0.224544328807026,0.138119048336722,0.122026437006134,0.0129194686647361,-0.435151032605726,-0.231747931077113,-0.143028633075251,-0.256537617819169,-0.229074533321175,-0.635671866344618,-0.435485670246013,-0.310449676563452,-0.253552628669604,-0.311367337424057,-0.0557675277422888,-0.0413623120750118,-0.172439543737955,-0.370911912485486,-0.293886558481777,-0.155568138503097,-0.217301660256813,-0.0885463769402758,-0.692135886197424,-0.140900095350915,-0.0338455698290204,-0.0709702388963296,-0.169468470674386,0.0303100724238083,-0.0674491563716084,-0.223390903715159,0.0830312508544596,-0.150360671280733,0.0318153716174713,0.0779947031496637,0.0070037941897211,0.154314997144644,NaN,NaN,NaN,0.0403385630295726,0.147840111169327,0.103829038309045,0.096249360355718
ppt_Jun_Total,0.554595662307323,0.243355586081479,0.246317184601017,0.2130861862747,0.0753387661107638,0.2090549532859,1,0.0789667539587799,0.169331021711145,0.188034044670599,0.198601618264309,0.0840914014472715,0.168016169438938,0.276351857446227,0.13102783014616,0.118064471120986,0.211520535997579,0.259528751213139,0.234776771539923,0.128083291388318,0.154750675112997,0.239014244473208,0.214667719431284,0.356169397433498,0.21924689938957,0.0523148493504634,0.0549305080231926,-0.00669523826618233,-0.0176631583783703,0.106983503063917,0.123569717792043,0.0839413736402698,-0.214408907237687,-0.143846584319075,0.028157119924182,0.0462628245233208,0.311821473808006,0.136535511382685,-0.0798910819780006,-0.228760993903348,-0.10540131745463,-0.120784261221914,-0.0131933800274985,-0.0287877622321672,-0.0966971276859532,-0.458241141509655,-0.353876504463901,-0.14536909002005,-0.130543980053161,0.137013714219554,0.0332444945763377,-0.189511846320039,0.372990221492397,0.147463903066067,0.16646377654441,0.232239435891596,0.264644312345621,0.248053898763814,0.396514761038513,0.377237198331948,0.416426938605514,0.356160486849878,0.350989437357441,0.204226473244629,0.106209551590484,-0.245769865774714,-0.0442013928646671,-0.125783865031145,0.00805641393613221,0.068038379148444,-0.0423195740536875,-0.412614277543594,-0.255961324163969,-0.103954703246644,-0.199280786806029,-0.0268663917673143,0.115218182116308,-0.127022681127178,-0.463573488003139,-0.175883926443789,-0.212284822815435,-0.177339825820196,-0.201980723527109,-0.25948997230629,-0.585872112296143,-0.4407708208383,-0.287275521968606,-0.315416843364866,-0.117626325248064,-0.0922575422585087,-0.330012731867323,-0.399822154277325,-0.225798665523271,-0.287162150121729,-0.170022607011596,-0.11466148691515,-0.163145567089011,-0.591434059546073,-0.006855844545968,-0.0609167525657931,-0.193052171776455,-0.161128309619956,-0.0733923778385172,-0.279129306674749,0.0819900027887108,-0.0086256350362694,-0.00975919481085667,0.0839432764037258,0.0964760703317586,0.160993339857374,NaN,NaN,NaN,0.137726712972339,0.203746028363884,0.0712408633407701,-0.0721501894687037
ppt_Jul_Total,0.412092332522417,0.15465129533536,0.0811291729709988,0.078369701183527,-0.0304738406307529,0.0917282064109476,0.0789667539587799,1,0.0722046578500104,0.222775354328968,0.0106858693237403,0.244835072176681,-0.0640147074028435,0.0663213746781366,0.0440782637831479,-0.0293033073207692,0.053044550262074,0.0295454691151913,0.130770591281008,0.012764994150324,-0.0138524604970841,-0.110331047479456,0.0884264734608305,0.110532058456762,0.0706265318715139,0.109339086381895,-0.10109288972476,-0.0718762185790178,-0.111813510573746,-0.0208388235896836,-0.0241477861445106,0.0525615819177544,-0.0614436312207375,-0.340414393723837,-0.287671802214087,0.00141715330251965,0.0584108582041866,-0.0491184818722516,0.095583580283281,-0.255622094095169,-0.144849753366071,-0.161327543368726,-0.0859810425040717,-0.069015173013344,-0.0435570631821716,-0.110246657533755,-0.505304251506233,-0.375449273099843,-0.0843821642444117,-0.0212723346950543,-0.13913224390653,0.0688047488357478,0.185334925384911,0.139510139845356,0.0308697929529269,0.0905688192428889,0.0599917791461122,0.152915453766392,0.0691023085927694,0.33685801843422,0.169975564053997,0.210380677563866,0.129470671627501,0.0910252838720325,0.143354153006886,-0.368746781252547,-0.200442223970824,-0.157629307330709,-0.0866320557026457,-0.0562998867597492,-0.1016177836141,-0.113906825095963,-0.460484430638277,-0.320582847135101,-0.188895382133345,-0.139587052218427,-0.140478037421393,-0.156498509612833,-0.361283912923581,-0.206595160904866,-0.186085786120742,-0.15526349362742,-0.123731042244456,-0.121268390809461,-0.115596580768344,-0.529213420261624,-0.406114307869684,-0.199109956311033,-0.110106738697723,-0.177834403895493,-0.0324042308585841,-0.350017793116983,-0.280347821789689,-0.105995666270163,-0.0922456134981418,-0.0310748297749742,-0.0981188526565346,-0.0489472559146637,-0.725186045449999,-0.136740523775779,-0.14796767911978,-0.0797979445558162,-0.236171553442881,0.0655721861966889,-0.0693958056952877,-0.0772505391425787,-0.139313548385442,0.0141146021735937,-0.020216714433805,-0.028716462396716,NaN,NaN,NaN,0.087547380452373,0.0581000564036352,-0.0165201076975604,-0.0446286304839484
ppt_Aug_Total,0.398433038502562,0.160768218699964,0.142795693113056,-0.0508200990679844,-0.018893851187978,0.168353638627277,0.169331021711145,0.0722046578500104,1,0.193392138568009,0.0869791188443988,-0.0144418155506968,0.10463095107379,0.113741909348506,0.0301677942377188,-0.0840637616839531,0.0674724430343085,0.204598503499405,0.151150761014059,0.156750214492968,0.11543276616486,-0.00643842819275999,0.0901000740261952,0.0882080933140262,0.0619955445490381,0.0955615886890263,-0.0169504251463551,0.00128957500950832,-0.135054607558314,0.0854939895452512,0.184969243709948,0.0992959828435546,0.0357714275444553,-0.0218559748610703,-0.283040035480342,-0.146582665488676,0.0221012290559661,-0.00602084781857501,0.0313488031516421,-0.163609892110347,-0.0198153663201145,-0.157124710760934,0.0848182505167062,0.127909260926404,0.0181880751368974,-0.0801184201490571,-0.134067650673978,-0.450856162229774,-0.342344180151362,-0.0576216224675477,-0.0624356874624289,-0.0322591668400949,0.176597654361834,0.0140402978153882,-0.090084477662774,0.0358996638725744,0.151472240776901,0.130817814763485,0.23286936745532,0.194065635026867,0.327185560878884,0.305726515158235,0.136071407249042,0.0476186059819741,0.114239027825047,-0.228355686936623,0.0460035256712899,-0.0419367279796258,0.153136294949154,0.216090342208596,0.00912264407830038,-0.162148952295331,-0.117577024555685,-0.403741980841534,-0.370948679486668,-0.0892210442287469,0.0704845596982213,-0.0580109247185957,-0.303507359861868,-0.0128074875862268,-0.124457091845563,0.0396420123296965,0.0378062186317671,-0.0734169161346918,-0.170258529069759,-0.178627951525269,-0.522679006479823,-0.484884450854089,-0.122579081910717,-0.0869655566012575,-0.13455805502446,-0.205767507208098,-0.103799393454925,-0.157746415676816,0.115474501954232,0.0147573449556563,-0.0782411295592771,-0.0979500907891839,-0.0101285432256093,-0.610128586031203,-0.179892668264135,-0.024688081157345,-0.0282145866516489,-0.0529026388692264,0.0592888716171598,0.124517719630411,-0.117869937998027,0.135682764826596,0.0493777222037325,0.0659087837420608,NaN,NaN,NaN,0.142451653845693,-0.0160563826319013,0.0154218231947808,0.00509742042042611
ppt_Sep_Total,0.569648865762964,0.105043240737285,0.233171883460026,0.0386180195791949,0.211473960285568,0.208784373777435,0.188034044670599,0.222775354328968,0.193392138568009,1,0.243035624168439,0.207477914800431,0.0792021356225245,0.300557975028633,0.0720709743875571,0.0398504648607211,0.146440118098854,0.325970919852173,0.30781534943567,0.266240992967824,0.335845572564578,0.132110068663454,0.280212912485305,0.299945837890945,0.203610701278937,0.159683811552587,0.0768469596487654,-0.0501063640023623,-0.100564218974888,0.0440130361121442,0.209960604268768,0.18415995591482,0.0713360129746699,0.0631367212231275,-0.0874834149745766,-0.0258468311041308,0.131393548919128,0.0660987182919608,0.0724949354942561,-0.218734956652603,-0.130888153107041,-0.19655102938101,-0.0612249769536607,0.0581255200074539,0.00494406902914474,-0.119296243320356,-0.197522212400166,-0.246411940056177,-0.319806291184743,-0.102680077528199,-0.0668171349069851,-0.0182111217723674,0.392093174808796,0.0985676263811594,0.0723583485881299,0.141470647308754,0.308350115996998,0.304336498340792,0.389974059145295,0.448376794413458,0.391749419895668,0.504164044120158,0.366001251003698,0.231114964069998,0.175010553310521,-0.227171423760896,0.00152124068992201,-0.0725648699883305,0.128104898215978,0.162365497296785,0.017455457899929,-0.160635952292827,-0.138352731049806,-0.245959542033186,-0.377290237845597,-0.253931474861574,-0.0309399394092381,-0.101824444268066,-0.447755462739638,-0.178518035360151,-0.246210632673175,-0.160189538923284,-0.137659142530405,-0.195666022195866,-0.288507270383199,-0.344155805229454,-0.369671427065882,-0.54449663647969,-0.343240467797955,-0.195224334341582,-0.171859331544254,-0.369535983287792,-0.193890223617319,-0.235174740186042,-0.0777063752678374,-0.161763818781422,-0.137032703429922,-0.140358741998737,-0.15186890360597,-0.172489352764537,-0.590022019786288,-0.116324314761624,-0.13778479254767,-0.0845965092314582,0.0678615190056107,-0.0476680323212618,-0.0877221394615807,0.0521317850368608,0.150831878017841,0.153315177668458,NaN,NaN,NaN,0.0870489197732105,0.179467980109029,0.0929929060700268,-0.0050662163192992
