Row,yield
ppt_annual_Total,-0.331398197659297
ppt_Jan_Total,-0.137159439661117
ppt_Feb_Total,-0.221720425372764
ppt_Mar_Total,-0.215468287000658
ppt_Apr_Total,-0.260654403368287
ppt_May_Total,-0.222296571315708
ppt_Jun_Total,-0.169573800902593
ppt_Jul_Total,0.0575281390503901
ppt_Aug_Total,-0.0517534312621245
ppt_Sep_Total,-0.156117931657243
ppt_Oct_Total,-0.177598735101647
ppt_Nov_Total,-0.179600793003585
ppt_Dec_Total,-0.234149462291991
tmin_annual_Total,-0.387817777353207
tmin_Jan_Total,-0.0957004203970181
tmin_Feb_Total,-0.0729585430758043
tmin_Mar_Total,-0.308041826331106
tmin_Apr_Total,-0.340688654218818
tmin_May_Total,-0.350352040381876
tmin_Jun_Total,-0.388315441458402
tmin_Jul_Total,-0.41172899375326
tmin_Aug_Total,-0.383079530423844
tmin_Sep_Total,-0.217972423495114
tmin_Oct_Total,-0.325595958800029
tmin_Nov_Total,-0.250203266402813
tmin_Dec_Total,-0.177891671741788
tmean_annual_Total,-0.171944286790232
tmean_Jan_Total,0.0741871883470721
tmean_Feb_Total,0.0515928054326717
tmean_Mar_Total,-0.160389125342152
tmean_Apr_Total,-0.144841543942266
tmean_May_Total,-0.157507595498563
tmean_Jun_Total,-0.164588676457618
tmean_Jul_Total,-0.227600968414956
tmean_Aug_Total,-0.25988029875373
tmean_Sep_Total,-0.0837904390072703
tmean_Oct_Total,-0.16703589963593
tmean_Nov_Total,-0.0855813511401415
tmean_Dec_Total,-0.0072643912738055
tmax_annual_Total,0.154463098432145
tmax_Jan_Total,0.185869560275345
tmax_Feb_Total,0.141656988768675
tmax_Mar_Total,0.0112944080943136
tmax_Apr_Total,0.0676888364378779
tmax_May_Total,0.0870505882513024
tmax_Jun_Total,0.0764127298951194
tmax_Jul_Total,0.0137961341723227
tmax_Aug_Total,-0.112949842084096
tmax_Sep_Total,0.0687730840220855
tmax_Oct_Total,0.0710002472523282
tmax_Nov_Total,0.0750347224802387
tmax_Dec_Total,0.150536123108283
tdmean_annual_Total,-0.427083381103727
tdmean_Jan_Total,-0.11656318195069
tdmean_Feb_Total,-0.125665232470081
tdmean_Mar_Total,-0.331794454966097
tdmean_Apr_Total,-0.391965001912887
tdmean_May_Total,-0.388204733293264
tdmean_Jun_Total,-0.449887228782087
tdmean_Jul_Total,-0.38911706264654
tdmean_Aug_Total,-0.411111577312406
tdmean_Sep_Total,-0.284515981164443
tdmean_Oct_Total,-0.30599122367302
tdmean_Nov_Total,-0.290820620558203
tdmean_Dec_Total,-0.1984193260086
vpdmin_annual_Total,-0.0479250121521858
vpdmin_Jan_Total,0.0201554702488631
vpdmin_Feb_Total,0.0489078739230163
vpdmin_Mar_Total,-0.0785016283499894
vpdmin_Apr_Total,-0.046857029002973
vpdmin_May_Total,-0.0163587958605946
vpdmin_Jun_Total,0.024263134830359
vpdmin_Jul_Total,-0.0673845843654201
vpdmin_Aug_Total,-0.0729438393434852
vpdmin_Sep_Total,0.0427736703328258
vpdmin_Oct_Total,-0.0869303626389413
vpdmin_Nov_Total,-0.0415426460048663
vpdmin_Dec_Total,0.0334190567242461
vpdmax_annual_Total,0.330465038307141
vpdmax_Jan_Total,0.252602786977036
vpdmax_Feb_Total,0.23854286944939
vpdmax_Mar_Total,0.210817866448386
vpdmax_Apr_Total,0.294031359096378
vpdmax_May_Total,0.343455435840613
vpdmax_Jun_Total,0.275119772170771
vpdmax_Jul_Total,0.155881395940648
vpdmax_Aug_Total,0.0369477103037589
vpdmax_Sep_Total,0.219425863633836
vpdmax_Oct_Total,0.255626360458764
vpdmax_Nov_Total,0.259784796129775
vpdmax_Dec_Total,0.336200385089177
nopptdays_annual_Total,0.292966555395544
nopptdays_Jan_Total,0.173927885656445
nopptdays_Feb_Total,0.191409597028734
nopptdays_Mar_Total,0.215019428287262
nopptdays_Apr_Total,0.257795531177109
nopptdays_May_Total,0.207786788572436
nopptdays_Jun_Total,0.0663863932364981
nopptdays_Jul_Total,-0.118490770005507
nopptdays_Aug_Total,0.0253534756566721
nopptdays_Sep_Total,0.13608510454392
nopptdays_Oct_Total,0.212014728177788
nopptdays_Nov_Total,0.156557880266157
nopptdays_Dec_Total,0.233821983312377
GDD_annual_Total,-0.0804446938717637
GDD_Jan_Total,0.0686536361215473
GDD_Feb_Total,0.0164308931529466
GDD_Mar_Total,-0.0460109442314979
GDD_Apr_Total,-0.0968145189390603
GDD_May_Total,-0.144011451233902
GDD_Jun_Total,NaN
GDD_Jul_Total,NaN
GDD_Aug_Total,NaN
GDD_Sep_Total,-0.100180906138621
GDD_Oct_Total,-0.0725719956119389
GDD_Nov_Total,-0.0870738954266077
GDD_Dec_Total,-0.0910282043843415
